Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
NE 14TH AVE / NE BROADWAY,23-32569,Property,Irvington,2/4/2023,1650,Larceny Offenses,All Other Larceny,45.535039835,-122.651498578,7650858,688503,2/4/2023,1
NE 14TH AVE / NE BROADWAY,23-32569,Property,Irvington,2/4/2023,1650,Vandalism,Vandalism,45.535039835,-122.651498578,7650858,688503,2/4/2023,1
NE 15TH AVE / NE HALSEY ST,23-25551,Property,Lloyd,1/27/2023,1400,Motor Vehicle Theft,Motor Vehicle Theft,45.533621368,-122.650472764,7651107,687979,1/27/2023,1
NE 16TH AVE / NE KILLINGSWORTH ST,23-14127,Property,Vernon,1/15/2023,1730,Larceny Offenses,Theft From Motor Vehicle,45.562716499,-122.649060175,7651751,698574,1/15/2023,1
NE 16TH AVE / NE SANDY BLVD,23-900332,Property,Kerns,12/31/2022,2000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.524420208,-122.649538780,7651257,684619,1/4/2023,1
NE 18TH AVE / NE COUCH ST,23-44379,Property,Kerns,2/17/2023,1114,Vandalism,Vandalism,45.523602063,-122.647513302,7651768,684307,2/17/2023,1
NE 18TH AVE / NE COUCH ST,23-900816,Property,Kerns,1/10/2023,1700,Vandalism,Vandalism,45.523602063,-122.647513302,7651768,684307,1/11/2023,1
NE 18TH AVE / NE GOING ST,23-13200,Property,Sabin,1/14/2023,2030,Motor Vehicle Theft,Motor Vehicle Theft,45.556354975,-122.646807970,7652266,696240,1/14/2023,1
NE 19TH AVE / NE BROADWAY,23-900734,Property,Irvington,1/9/2023,2025,Vandalism,Vandalism,45.535026106,-122.646657194,7652098,688465,1/10/2023,1
NE 19TH AVE / NE TILLAMOOK ST,23-902832,Property,Irvington,1/16/2023,1315,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.537438370,-122.646330683,7652205,689342,1/19/2023,1
NE 20TH AVE / NE HOYT ST,23-902993,Property,Kerns,2/12/2023,1755,Larceny Offenses,Theft From Motor Vehicle,45.527218120,-122.645460286,7652329,685611,2/14/2023,1
NE 21ST AVE / NE ALBERTA ST,23-900830,Property,Vernon,1/11/2023,1200,Larceny Offenses,All Other Larceny,45.559068535,-122.643860386,7653047,697209,1/11/2023,1
NE 21ST AVE / NE STANTON ST,23-20180,Property,Alameda,1/21/2023,2230,Motor Vehicle Theft,Motor Vehicle Theft,45.543623455,-122.644221874,7652805,691582,1/22/2023,1
NE 22ND AVE / NE DAVIS ST,23-12675,Society,Kerns,1/14/2023,0913,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.524300752,-122.643449196,7652816,684534,1/14/2023,1
NE 22ND AVE / NE HALSEY ST,23-902453,Property,Sullivan's Gulch,1/29/2023,1100,Motor Vehicle Theft,Motor Vehicle Theft,45.533585442,-122.642995587,7653022,687915,1/29/2023,1
NE 22ND AVE / NE OREGON ST,23-53342,Property,Kerns,2/27/2023,0830,Motor Vehicle Theft,Motor Vehicle Theft,45.528586790,-122.643423650,7652864,686096,2/27/2023,1
NE 27TH AVE / NE EMERSON ST,23-900996,Property,Concordia,1/5/2023,2300,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.561525963,-122.637864199,7654606,698064,1/13/2023,1
NE 27TH AVE / NE HANCOCK ST,23-28995,Property,Grant Park,1/31/2023,1536,Motor Vehicle Theft,Motor Vehicle Theft,45.536430461,-122.638140999,7654293,688919,1/31/2023,1
NE 27TH AVE / NE HIGHLAND ST,23-17672,Property,Concordia,1/19/2023,1706,Robbery,Robbery,45.569131603,-122.638139092,7654609,700838,1/19/2023,1
NE 27TH AVE / NE SUMNER ST,23-903426,Property,Concordia,2/6/2023,2300,Larceny Offenses,Theft From Motor Vehicle,45.560293859,-122.637876360,7654591,697615,2/7/2023,1
NE 28TH AVE / NE BROADWAY,23-33995,Property,Grant Park,2/6/2023,0710,Vandalism,Vandalism,45.535159463,-122.636703331,7654649,688446,2/6/2023,1
NE 29TH AVE / NE LIBERTY ST,23-903752,Property,Concordia,2/27/2023,1649,Vandalism,Vandalism,45.570507567,-122.635995584,7655171,701325,2/28/2023,1
NE 31ST AVE / NE SANDY BLVD,23-903025,Property,Kerns,2/3/2023,0640,Larceny Offenses,Theft From Building,45.530844671,-122.632812977,7655604,686847,2/3/2023,1
NE 31ST AVE / NE SUMNER ST,23-901073,Property,Concordia,1/12/2023,1940,Vandalism,Vandalism,45.560292345,-122.633822245,7655629,697587,1/13/2023,1
NE 33RD AVE / NE SCHUYLER ST,23-903428,Property,Grant Park,2/6/2023,1509,Larceny Offenses,Theft From Motor Vehicle,45.535776413,-122.630663712,7656202,688630,2/6/2023,1
NE 41ST AVE / NE BROADWAY,23-5337,Property,Hollywood,1/5/2023,1900,Motor Vehicle Theft,Motor Vehicle Theft,45.535121391,-122.621281479,7658599,688328,1/6/2023,1
NE 41ST AVE / NE BROADWAY,23-901618,Property,Hollywood,1/19/2023,2005,Larceny Offenses,All Other Larceny,45.535121391,-122.621281479,7658599,688328,1/20/2023,1
NE 43RD AVE / NE SANDY BLVD,23-903493,Property,Hollywood,2/22/2023,1700,Larceny Offenses,Theft From Motor Vehicle,45.536558731,-122.618918622,7659218,688836,2/25/2023,1
NE 43RD AVE / NE SANDY BLVD,23-903590,Property,Hollywood,2/8/2023,1530,Vandalism,Vandalism,45.536558731,-122.618918622,7659218,688836,2/8/2023,1
NE 44TH AVE / NE HAZELFERN PL,23-902310,Property,Laurelhurst,1/25/2023,1230,Vandalism,Vandalism,45.530860111,-122.617288918,7659581,686748,1/26/2023,1
NE 47TH AVE / NE GLISAN ST,23-12018,Property,North Tabor,1/13/2023,0600,Motor Vehicle Theft,Motor Vehicle Theft,45.526465810,-122.615001651,7660125,685131,1/13/2023,1
NE 47TH AVE / NE GLISAN ST,23-902355,Property,North Tabor,1/27/2023,0000,Larceny Offenses,Theft From Motor Vehicle,45.526465810,-122.615001651,7660125,685131,1/27/2023,1
NE 53RD AVE / NE THOMPSON ST,23-902750,Property,Rose City Park,1/31/2023,1130,Vandalism,Vandalism,45.539031387,-122.608887457,7661811,689670,2/1/2023,1
NE 60TH AVE / NE EVERETT ST,23-900142,Property,North Tabor,1/2/2023,0200,Vandalism,Vandalism,45.525031096,-122.602282374,7663370,684523,1/2/2023,1
NE 60TH AVE / NE LOMBARD ST,23-35435,Society,Cully,2/7/2023,1700,Weapon Law Violations,Weapons Law Violations,45.567100340,-122.600829675,7664141,699847,2/7/2023,1
NE 61ST AVE / NE WASCO ST,23-902403,Property,Rose City Park,1/28/2023,1245,Motor Vehicle Theft,Motor Vehicle Theft,45.532318655,-122.601201577,7663716,687172,1/28/2023,1
NE 63RD AVE / NE HASSALO ST,23-42293,Property,North Tabor,2/14/2023,0300,Motor Vehicle Theft,Motor Vehicle Theft,45.529893964,-122.598613590,7664356,686271,2/15/2023,1
NE 67TH AVE / NE GLISAN ST,23-902747,Property,North Tabor,2/1/2023,1215,Fraud Offenses,Identity Theft,45.526471395,-122.594474520,7665384,684996,2/1/2023,1
NE 73RD AVE / NE BROADWAY,23-6041,Property,Montavilla,1/6/2023,2100,Larceny Offenses,Theft From Motor Vehicle,45.535337545,-122.588204109,7667074,688186,1/7/2023,1
NE 74TH AVE / NE GLISAN ST,23-16796,Property,Montavilla,1/18/2023,0000,Larceny Offenses,Theft From Motor Vehicle,45.526449077,-122.586803793,7667349,684937,1/18/2023,1
NE 74TH AVE / NE GLISAN ST,23-25588,Property,Montavilla,1/27/2023,2330,Robbery,Robbery,45.526449077,-122.586803793,7667349,684937,1/28/2023,1
NE 81ST AVE / NE HALSEY ST,23-6145,Property,Montavilla,1/7/2023,1042,Vandalism,Vandalism,45.533606425,-122.580332944,7669074,687503,1/7/2023,1
NE 82ND AVE / E BURNSIDE ST,23-44662,Society,Montavilla,2/17/2023,1754,Weapon Law Violations,Weapons Law Violations,45.522781453,-122.579054248,7669300,683549,2/17/2023,1
NE 82ND AVE / NE COLUMBIA BLVD,23-50891,Property,,2/22/2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.564685282,-122.577765822,7670023,698814,2/24/2023,1
NE 82ND AVE / NE COLUMBIA BLVD&82ND AVE RAMP,23-903753,Property,Cully,2/23/2023,1700,Larceny Offenses,Theft From Motor Vehicle,45.564685282,-122.577765822,7670023,698814,2/28/2023,1
NE 82ND AVE / NE HANCOCK ST,23-44797,Society,Madison South,2/17/2023,2041,Weapon Law Violations,Weapons Law Violations,45.536369099,-122.578974122,7669448,688501,2/17/2023,1
NE 82ND AVE / NE LOMBARD ST,23-43536,Person,Sumner,2/16/2023,1242,Assault Offenses,Aggravated Assault,45.562674188,-122.577617967,7670042,698080,2/16/2023,1
NE 82ND AVE / NE SANDY BLVD,23-48730,Property,Madison South,2/22/2023,0000,Motor Vehicle Theft,Motor Vehicle Theft,45.552427235,-122.578668153,7669677,694352,2/22/2023,1
NE 82ND AVE / NE SANDY BLVD,23-53031,Property,Madison South,2/22/2023,2030,Motor Vehicle Theft,Motor Vehicle Theft,45.552427235,-122.578668153,7669677,694352,2/27/2023,1
NE 82ND AVE / NE THOMPSON ST,23-903800,Property,Madison South,2/10/2023,1245,Larceny Offenses,Theft From Building,45.539066926,-122.578924576,7669486,689484,2/10/2023,1
NE 82ND AVE / NE TILLAMOOK ST,23-18905,Society,Madison South,1/20/2023,2149,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.537228115,-122.578958735,7669460,688814,1/20/2023,1
NE 85TH AVE / NE MILTON ST,23-2309,Society,Madison South,1/3/2023,1345,Prostitution Offenses,Purchasing Prostitution,45.548854169,-122.576139746,7670291,693033,1/3/2023,1
NE 90TH AVE / NE PRESCOTT ST,23-37605,Society,Sumner,2/10/2023,0030,Weapon Law Violations,Weapons Law Violations,45.555516094,-122.570021854,7671920,695421,2/10/2023,1
NE 92ND AVE / NE GLISAN ST,23-520,Property,Montavilla,1/1/2023,0300,Motor Vehicle Theft,Motor Vehicle Theft,45.526346567,-122.568649979,7671999,684780,1/1/2023,1
NE 92ND AVE / NE HALSEY ST,23-50744,Property,Madison South,2/22/2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.533456883,-122.568553843,7672090,687371,2/24/2023,1
NE 95TH AVE / NE WYGANT ST,23-38347,Society,Parkrose,2/10/2023,1845,Weapon Law Violations,Weapons Law Violations,45.557197183,-122.564873451,7673254,696000,2/10/2023,1
NE 96TH AVE / NE SANDY BLVD,23-11720,Property,Parkrose,1/12/2023,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.558357872,-122.563947144,7673502,696417,1/13/2023,1
NE 96TH AVE / NE SANDY BLVD,23-12965,Property,Parkrose,1/14/2023,1536,Larceny Offenses,Theft From Motor Vehicle,45.558357872,-122.563947144,7673502,696417,1/14/2023,1
NE 96TH AVE / NE SANDY BLVD,23-901109,Property,Parkrose,1/14/2023,1000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.558357872,-122.563947144,7673502,696417,1/14/2023,1
NE 97TH AVE / NE SANDY BLVD,23-4261,Society,Parkrose,1/5/2023,1307,Prostitution Offenses,Purchasing Prostitution,45.558792258,-122.562826458,7673793,696568,1/5/2023,1
NE 97TH AVE / NE SANDY BLVD,23-4391,Society,Parkrose,1/5/2023,1524,Prostitution Offenses,Purchasing Prostitution,45.558792258,-122.562826458,7673793,696568,1/5/2023,1
NE 100TH AVE / NE GLISAN ST,23-34283,Society,Hazelwood,2/6/2023,1246,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.526296914,-122.560724641,7674029,684710,2/6/2023,1
NE 108TH AVE / NE HANCOCK ST,23-19739,Society,Parkrose Heights,1/21/2023,2028,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.536158914,-122.551584505,7676462,688245,1/21/2023,1
NE 108TH AVE / NE HANCOCK ST,23-26026,Property,Parkrose Heights,1/24/2023,0800,Motor Vehicle Theft,Motor Vehicle Theft,45.536158914,-122.551584505,7676462,688245,1/28/2023,1
NE 109TH AVE / NE WYGANT ST,23-1114,Property,Parkrose,1/2/2023,0200,Motor Vehicle Theft,Motor Vehicle Theft,45.557196378,-122.550661916,7676893,695907,1/2/2023,1
NE 110TH AVE / NE WYGANT ST,23-19629,Society,Parkrose,1/21/2023,1802,Weapon Law Violations,Weapons Law Violations,45.557195279,-122.549646492,7677153,695900,1/21/2023,1
NE 114TH AVE / NE SHAVER ST,23-903558,Property,Parkrose,2/1/2023,0400,Burglary,Burglary,45.551762610,-122.545205603,7678240,693891,2/8/2023,1
NE 115TH AVE / NE MARX ST,23-21822,Person,Parkrose,1/24/2023,0159,Assault Offenses,Aggravated Assault,45.559723493,-122.544172489,7678578,696786,1/24/2023,1
NE 115TH AVE / NE MARX ST,23-21822,Society,Parkrose,1/24/2023,0159,Weapon Law Violations,Weapons Law Violations,45.559723493,-122.544172489,7678578,696786,1/24/2023,1
NE 121ST PL / NE SKIDMORE ST,23-94,Property,Parkrose,1/1/2023,0117,Vandalism,Vandalism,45.553593710,-122.538187808,7680054,694513,1/1/2023,1
