Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,23-X5791168,Person,Arbor Lodge,1/1/2023,0246,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791169,Person,Old Town/Chinatown,1/1/2023,0209,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791250,Person,Creston-Kenilworth,1/1/2023,0649,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5791315,Person,Pearl,1/1/2023,0100,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/1/2023,1
,23-X5791338,Person,Centennial,1/1/2023,1225,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791342,Person,Wilkes,1/1/2023,1738,Assault Offenses,Aggravated Assault,,,,,1/1/2023,2
,23-X5791346,Person,Hazelwood,1/1/2023,1251,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791350,Person,Brentwood-Darlington,1/1/2023,2239,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5791361,Person,Sumner,1/2/2023,0110,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791366,Person,Hayden Island,1/1/2023,1700,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791369,Person,Centennial,1/2/2023,0059,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791369,Society,Centennial,1/2/2023,0059,Weapon Law Violations,Weapons Law Violations,,,,,1/2/2023,1
,23-X5791399,Person,West Portland Park,1/2/2023,0624,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791400,Person,Sylvan-Highlands,1/2/2023,0730,Assault Offenses,Simple Assault,,,,,1/2/2023,2
,23-X5791404,Person,Glenfair,1/2/2023,1041,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791406,Person,Boise,1/1/2023,0445,Assault Offenses,Aggravated Assault,,,,,1/1/2023,2
,23-X5791413,Person,Lents,12/25/2022,0300,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5791414,Person,Sabin,1/1/2023,1519,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791543,Person,Hazelwood,1/2/2023,1900,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5791641,Person,Sunnyside,1/3/2023,0757,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5791641,Society,Sunnyside,1/3/2023,0757,Weapon Law Violations,Weapons Law Violations,,,,,1/3/2023,1
,23-X5791657,Person,Boise,1/3/2023,1553,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5791664,Person,Multnomah,1/3/2023,2110,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5791695,Person,Foster-Powell,1/2/2023,2352,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791785,Person,Eliot,1/4/2023,0030,Assault Offenses,Aggravated Assault,,,,,1/4/2023,2
,23-X5791785,Society,Eliot,1/4/2023,0030,Weapon Law Violations,Weapons Law Violations,,,,,1/4/2023,1
,23-X5791839,Person,Cully,1/1/2023,0402,Assault Offenses,Aggravated Assault,,,,,1/1/2023,3
,23-X5791918,Person,Boise,12/8/2022,1030,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791920,Person,Mt Scott-Arleta,1/3/2023,0212,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5791932,Person,Parkrose Heights,1/3/2023,1750,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5792051,Person,Goose Hollow,1/4/2023,1345,Assault Offenses,Simple Assault,,,,,1/4/2023,1
,23-X5792134,Person,Montavilla,1/4/2023,1719,Assault Offenses,Simple Assault,,,,,1/4/2023,1
,23-X5792151,Person,Centennial,1/4/2023,2122,Assault Offenses,Aggravated Assault,,,,,1/4/2023,1
,23-X5792151,Society,Centennial,1/4/2023,2122,Weapon Law Violations,Weapons Law Violations,,,,,1/4/2023,1
,23-X5792153,Person,Downtown,1/3/2023,2243,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5792153,Person,Downtown,1/3/2023,2243,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5792155,Person,Hollywood,1/4/2023,1454,Assault Offenses,Intimidation,,,,,1/4/2023,1
,23-X5792180,Person,Lents,1/5/2023,0201,Assault Offenses,Simple Assault,,,,,1/5/2023,1
,23-X5792181,Person,Overlook,1/5/2023,0152,Assault Offenses,Aggravated Assault,,,,,1/5/2023,1
,23-X5792648,Person,Hazelwood,1/5/2023,0500,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/5/2023,1
,23-X5792648,Person,Hazelwood,1/5/2023,0500,Sex Offenses,Fondling,,,,,1/5/2023,1
,23-X5792765,Person,Hazelwood,1/5/2023,1703,Assault Offenses,Simple Assault,,,,,1/5/2023,1
,23-X5792765,Person,Hazelwood,1/5/2023,1703,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/5/2023,2
,23-X5792798,Person,King,1/5/2023,1938,Assault Offenses,Aggravated Assault,,,,,1/5/2023,1
,23-X5792812,Person,Northwest,1/5/2023,2338,Assault Offenses,Aggravated Assault,,,,,1/6/2023,1
,23-X5792830,Person,Mt Tabor,1/6/2023,0125,Assault Offenses,Aggravated Assault,,,,,1/6/2023,1
,23-X5792830,Person,Mt Tabor,1/6/2023,0125,Assault Offenses,Simple Assault,,,,,1/6/2023,1
,23-X5792968,Property,Powellhurst-Gilbert,1/5/2023,2032,Vandalism,Vandalism,,,,,1/5/2023,1
,23-X5793184,Property,Mt Scott-Arleta,1/4/2023,1644,Motor Vehicle Theft,Motor Vehicle Theft,,,,,1/4/2023,1
,23-X5793198,Person,Madison South,1/5/2023,2020,Assault Offenses,Simple Assault,,,,,1/5/2023,2
,23-X5793221,Person,Powellhurst-Gilbert,1/6/2023,1445,Assault Offenses,Aggravated Assault,,,,,1/6/2023,1
,23-X5793222,Person,Powellhurst-Gilbert,1/6/2023,0515,Assault Offenses,Simple Assault,,,,,1/6/2023,1
,23-X5793265,Person,Hazelwood,1/7/2023,0206,Assault Offenses,Simple Assault,,,,,1/7/2023,2
,23-X5793273,Person,Cully,1/6/2023,1648,Sex Offenses,Rape,,,,,1/6/2023,1
,23-X5793330,Person,Portsmouth,1/6/2023,1707,Assault Offenses,Simple Assault,,,,,1/6/2023,2
,23-X5793334,Person,Irvington,1/6/2023,1134,Assault Offenses,Aggravated Assault,,,,,1/6/2023,1
,23-X5793352,Person,Brentwood-Darlington,1/5/2023,1500,Assault Offenses,Aggravated Assault,,,,,1/5/2023,1
,23-X5793355,Person,Powellhurst-Gilbert,1/5/2023,0800,Assault Offenses,Simple Assault,,,,,1/5/2023,1
,23-X5793389,Person,Centennial,1/7/2023,1320,Assault Offenses,Simple Assault,,,,,1/7/2023,1
,23-X5793497,Person,Parkrose,1/6/2023,2154,Assault Offenses,Simple Assault,,,,,1/6/2023,1
,23-X5793528,Person,Madison South,1/7/2023,0930,Assault Offenses,Intimidation,,,,,1/7/2023,1
,23-X5793534,Person,Russell,1/7/2023,1929,Assault Offenses,Simple Assault,,,,,1/7/2023,2
,23-X5793542,Person,Cully,1/7/2023,1230,Assault Offenses,Simple Assault,,,,,1/7/2023,1
,23-X5793666,Person,Downtown,1/7/2023,0442,Sex Offenses,Rape,,,,,1/7/2023,1
,23-X5793666,Person,Downtown,1/7/2023,0442,Sex Offenses,Sodomy,,,,,1/7/2023,1
,23-X5793672,Person,Woodlawn,1/8/2023,0151,Assault Offenses,Simple Assault,,,,,1/8/2023,1
,23-X5793673,Person,North Tabor,1/3/2023,1812,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5793674,Person,South Tabor,1/7/2023,1458,Assault Offenses,Aggravated Assault,,,,,1/7/2023,1
,23-X5793675,Person,,11/1/2022,0001,Assault Offenses,Simple Assault,,,,,1/8/2023,1
,23-X5793695,Person,Buckman East,1/8/2023,0730,Assault Offenses,Aggravated Assault,,,,,1/8/2023,1
,23-X5793708,Person,Hayden Island,1/8/2023,1518,Assault Offenses,Simple Assault,,,,,1/8/2023,1
,23-X5793754,Person,Centennial,1/8/2023,1221,Assault Offenses,Aggravated Assault,,,,,1/8/2023,1
,23-X5793754,Property,Centennial,1/8/2023,1221,Burglary,Burglary,,,,,1/8/2023,1
,23-X5793756,Person,Hazelwood,1/8/2023,1705,Assault Offenses,Simple Assault,,,,,1/8/2023,1
,23-X5793758,Person,Parkrose Heights,1/4/2023,2100,Assault Offenses,Simple Assault,,,,,1/8/2023,1
,23-X5793880,Person,Lloyd,1/4/2023,0344,Sex Offenses,Sodomy,,,,,1/4/2023,1
,23-X5793883,Person,Pearl,1/9/2023,0214,Assault Offenses,Simple Assault,,,,,1/9/2023,1
,23-X5793888,Person,Parkrose Heights,1/3/2023,0931,Sex Offenses,Fondling,,,,,1/3/2023,1
,23-X5793891,Person,Buckman West,12/9/2022,1745,Sex Offenses,Fondling,,,,,1/3/2023,1
,23-X5793912,Person,Downtown,1/8/2023,0630,Sex Offenses,Rape,,,,,1/8/2023,1
,23-X5793952,Person,St Johns,1/7/2023,2157,Assault Offenses,Simple Assault,,,,,1/7/2023,1
,23-X5793961,Person,Northwest,1/9/2023,0636,Assault Offenses,Aggravated Assault,,,,,1/9/2023,1
,23-X5793961,Person,Northwest,1/9/2023,0636,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/9/2023,1
,23-X5793986,Person,Cathedral Park,1/5/2023,2150,Assault Offenses,Simple Assault,,,,,1/5/2023,1
,23-X5793986,Property,Cathedral Park,1/5/2023,2150,Vandalism,Vandalism,,,,,1/5/2023,1
,23-X5794082,Person,Wilkes,11/20/2022,1200,Assault Offenses,Simple Assault,,,,,1/9/2023,1
,23-X5794083,Person,Parkrose,1/9/2023,1338,Assault Offenses,Aggravated Assault,,,,,1/9/2023,1
,23-X5794103,Person,Buckman West,1/9/2023,2330,Assault Offenses,Aggravated Assault,,,,,1/10/2023,1
,23-X5794140,Person,Centennial,1/10/2023,0149,Assault Offenses,Simple Assault,,,,,1/10/2023,1
,23-X5794160,Person,Creston-Kenilworth,1/8/2023,1157,Human Trafficking Offenses,Commercial Sex Acts,,,,,1/8/2023,1
,23-X5794173,Person,Pearl,1/10/2023,0038,Assault Offenses,Simple Assault,,,,,1/10/2023,1
,23-X5794186,Property,Cathedral Park,1/8/2023,0258,Vandalism,Vandalism,,,,,1/8/2023,1
,23-X5794333,Person,Mill Park,4/5/2022,0800,Sex Offenses,Fondling,,,,,1/7/2023,1
,23-X5794441,Person,,1/10/2023,1448,Assault Offenses,Simple Assault,,,,,1/10/2023,1
,23-X5794449,Person,Glenfair,1/9/2023,1904,Assault Offenses,Aggravated Assault,,,,,1/9/2023,2
,23-X5794455,Person,,1/10/2023,1245,Assault Offenses,Simple Assault,,,,,1/10/2023,1
,23-X5794503,Person,Glenfair,1/10/2023,1933,Assault Offenses,Aggravated Assault,,,,,1/10/2023,2
,23-X5794503,Society,Glenfair,1/10/2023,1933,Weapon Law Violations,Weapons Law Violations,,,,,1/10/2023,1
,23-X5794566,Person,King,1/10/2023,2121,Assault Offenses,Simple Assault,,,,,1/10/2023,1
,23-X5794574,Person,Hazelwood,1/11/2023,0156,Assault Offenses,Aggravated Assault,,,,,1/11/2023,1
,23-X5794604,Person,Downtown,12/31/2022,1900,Sex Offenses,Rape,,,,,1/6/2023,1
,23-X5794747,Property,Mill Park,1/9/2023,1527,Robbery,Robbery,,,,,1/9/2023,1
,23-X5795008,Person,Goose Hollow,1/11/2023,1735,Assault Offenses,Simple Assault,,,,,1/11/2023,1
,23-X5795033,Person,Pearl,1/11/2023,0941,Assault Offenses,Simple Assault,,,,,1/11/2023,1
,23-X5795132,Person,Hazelwood,1/1/2023,1351,Sex Offenses,Rape,,,,,1/1/2023,1
,23-X5795137,Person,Homestead,1/7/2023,0629,Sex Offenses,Rape,,,,,1/7/2023,1
,23-X5795143,Person,Downtown,1/7/2023,2033,Sex Offenses,Rape,,,,,1/7/2023,1
,23-X5795144,Person,Downtown,1/5/2023,1943,Sex Offenses,Sodomy,,,,,1/5/2023,1
,23-X5795146,Person,Northwest,1/8/2023,1314,Sex Offenses,Sodomy,,,,,1/8/2023,1
,23-X5795196,Person,Powellhurst-Gilbert,9/14/2022,0000,Assault Offenses,Aggravated Assault,,,,,1/9/2023,1
,23-X5795196,Person,Powellhurst-Gilbert,9/14/2022,0000,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/9/2023,1
,23-X5795199,Property,Montavilla,1/2/2023,1810,Counterfeiting/Forgery,Counterfeiting/Forgery,,,,,1/2/2023,1
,23-X5795210,Person,Old Town/Chinatown,1/1/2023,0010,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5795226,Person,Cully,12/28/2022,2020,Sex Offenses,Fondling,,,,,1/1/2023,1
,23-X5795303,Property,Hollywood,1/2/2023,1711,Robbery,Robbery,,,,,1/2/2023,1
,23-X5795505,Person,South Portland,1/10/2023,2100,Assault Offenses,Aggravated Assault,,,,,1/11/2023,1
,23-X5795514,Person,Creston-Kenilworth,1/12/2023,1500,Assault Offenses,Simple Assault,,,,,1/12/2023,1
,23-X5795535,Person,Hazelwood,1/12/2023,2218,Assault Offenses,Aggravated Assault,,,,,1/12/2023,1
,23-X5795553,Person,Old Town/Chinatown,1/13/2023,0130,Assault Offenses,Intimidation,,,,,1/13/2023,1
,23-X5795632,Person,Russell,1/3/2023,1507,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5795659,Person,Montavilla,1/2/2022,0001,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5796097,Person,Cully,1/13/2023,0121,Assault Offenses,Simple Assault,,,,,1/13/2023,1
,23-X5796156,Person,Centennial,1/2/2023,0810,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5796157,Person,Russell,1/12/2023,0650,Assault Offenses,Simple Assault,,,,,1/12/2023,1
,23-X5796168,Person,Northwest,1/13/2023,0514,Assault Offenses,Simple Assault,,,,,1/13/2023,1
,23-X5796171,Person,Overlook,1/12/2023,2320,Assault Offenses,Simple Assault,,,,,1/12/2023,1
,23-X5796173,Person,Cully,1/13/2023,2230,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796186,Person,Overlook,1/14/2023,0048,Assault Offenses,Aggravated Assault,,,,,1/14/2023,1
,23-X5796204,Person,Foster-Powell,1/13/2023,1230,Assault Offenses,Simple Assault,,,,,1/13/2023,1
,23-X5796261,Person,,1/14/2023,0357,Assault Offenses,Simple Assault,,,,,1/14/2023,2
,23-X5796273,Person,Powellhurst-Gilbert,1/8/2023,0340,Assault Offenses,Aggravated Assault,,,,,1/12/2023,1
,23-X5796283,Person,Russell,1/12/2023,1824,Assault Offenses,Simple Assault,,,,,1/12/2023,1
,23-X5796287,Person,Eliot,1/12/2023,2245,Assault Offenses,Simple Assault,,,,,1/12/2023,1
,23-X5796296,Person,Wilkes,1/10/2023,0154,Assault Offenses,Simple Assault,,,,,1/10/2023,1
,23-X5796314,Person,Hazelwood,1/14/2023,0712,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796332,Person,Arbor Lodge,1/14/2023,1151,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796336,Person,Hazelwood,1/14/2023,0105,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796337,Person,Hazelwood,1/14/2023,0021,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796339,Person,Northwest,1/11/2023,2130,Sex Offenses,Rape,,,,,1/12/2023,1
,23-X5796339,Property,Northwest,1/11/2023,2130,Vandalism,Vandalism,,,,,1/12/2023,1
,23-X5796392,Person,Centennial,1/14/2023,1715,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796398,Person,St Johns,1/14/2023,1600,Assault Offenses,Simple Assault,,,,,1/14/2023,1
,23-X5796442,Person,Bridlemile,1/13/2023,2024,Sex Offenses,Fondling,,,,,1/13/2023,1
,23-X5796454,Person,Downtown,1/1/2023,1627,Assault Offenses,Simple Assault,,,,,1/1/2023,2
,23-X5796479,Person,Downtown,1/1/2023,2002,Sex Offenses,Fondling,,,,,1/1/2023,1
,23-X5796479,Property,Downtown,1/1/2023,2002,Robbery,Robbery,,,,,1/1/2023,1
,23-X5796497,Person,Lents,1/14/2023,2213,Assault Offenses,Aggravated Assault,,,,,1/14/2023,1
,23-X5796506,Person,Pearl,1/15/2023,0000,Assault Offenses,Simple Assault,,,,,1/15/2023,1
,23-X5796522,Person,Powellhurst-Gilbert,1/15/2023,1137,Assault Offenses,Simple Assault,,,,,1/15/2023,1
,23-X5796528,Person,Parkrose,1/15/2023,1120,Assault Offenses,Intimidation,,,,,1/15/2023,1
,23-X5796605,Person,Hazelwood,1/15/2023,1205,Assault Offenses,Aggravated Assault,,,,,1/15/2023,1
,23-X5796631,Person,Lloyd,1/5/2023,1500,Assault Offenses,Simple Assault,,,,,1/5/2023,1
,23-X5796631,Property,Lloyd,1/5/2023,1500,Vandalism,Vandalism,,,,,1/5/2023,1
,23-X5796703,Person,Powellhurst-Gilbert,1/15/2023,2305,Assault Offenses,Intimidation,,,,,1/15/2023,1
,23-X5796705,Property,Montavilla,12/31/2022,1200,Burglary,Burglary,,,,,1/4/2023,1
,23-X5796729,Person,Mt Tabor,1/15/2023,1806,Assault Offenses,Aggravated Assault,,,,,1/15/2023,1
,23-X5796730,Person,Old Town/Chinatown,1/15/2023,2144,Assault Offenses,Simple Assault,,,,,1/15/2023,1
,23-X5796830,Person,Lents,1/15/2023,1158,Sex Offenses,Rape,,,,,1/15/2023,1
,23-X5796831,Person,Old Town/Chinatown,1/14/2023,0001,Sex Offenses,Rape,,,,,1/15/2023,1
,23-X5796832,Person,Centennial,1/2/2023,1200,Sex Offenses,Rape,,,,,1/16/2023,1
,23-X5796834,Person,,7/7/2021,0800,Sex Offenses,Sexual Assault With An Object,,,,,1/12/2023,1
,23-X5796835,Person,,6/1/2021,0000,Sex Offenses,Sexual Assault With An Object,,,,,1/13/2023,1
,23-X5796860,Person,Portsmouth,1/15/2023,0000,Assault Offenses,Aggravated Assault,,,,,1/15/2023,1
,23-X5796865,Person,Pearl,1/9/2023,1120,Sex Offenses,Fondling,,,,,1/12/2023,1
,23-X5796869,Person,,9/1/2022,1359,Sex Offenses,Fondling,,,,,1/13/2023,1
,23-X5796874,Person,Russell,1/8/2023,0645,Sex Offenses,Fondling,,,,,1/8/2023,1
,23-X5796880,Person,Mill Park,1/15/2023,2001,Assault Offenses,Intimidation,,,,,1/15/2023,1
,23-X5796971,Person,Hazelwood,1/16/2023,1445,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/16/2023,1
,23-X5796992,Person,Sunnyside,1/11/2023,2130,Assault Offenses,Simple Assault,,,,,1/12/2023,1
,23-X5796999,Person,Richmond,1/16/2023,2203,Assault Offenses,Aggravated Assault,,,,,1/16/2023,1
,23-X5797090,Person,Pearl,1/1/2023,1443,Sex Offenses,Fondling,,,,,1/1/2023,1
,23-X5797137,Person,Lloyd,1/16/2023,1331,Assault Offenses,Simple Assault,,,,,1/16/2023,1
,23-X5797137,Property,Lloyd,1/16/2023,1331,Vandalism,Vandalism,,,,,1/16/2023,1
,23-X5797167,Person,Portsmouth,1/16/2023,0010,Assault Offenses,Aggravated Assault,,,,,1/16/2023,1
,23-X5797167,Person,Portsmouth,1/16/2023,0010,Assault Offenses,Simple Assault,,,,,1/16/2023,1
,23-X5797298,Person,Montavilla,1/3/2023,1700,Assault Offenses,Simple Assault,,,,,1/4/2023,1
,23-X5797362,Person,Bridgeton,1/15/2023,1730,Sex Offenses,Rape,,,,,1/15/2023,1
,23-X5797425,Person,Centennial,1/3/2023,1944,Sex Offenses,Fondling,,,,,1/3/2023,1
,23-X5797426,Person,Lents,1/17/2023,1756,Assault Offenses,Aggravated Assault,,,,,1/17/2023,1
,23-X5797472,Property,Hazelwood,1/17/2023,0600,Robbery,Robbery,,,,,1/17/2023,1
,23-X5797476,Person,Centennial,1/18/2023,0411,Assault Offenses,Simple Assault,,,,,1/18/2023,1
,23-X5797561,Person,Centennial,1/15/2023,1334,Assault Offenses,Simple Assault,,,,,1/15/2023,1
,23-X5797564,Person,,1/16/2023,2000,Assault Offenses,Simple Assault,,,,,1/17/2023,1
,23-X5797570,Person,Hazelwood,1/17/2023,0942,Assault Offenses,Simple Assault,,,,,1/17/2023,1
,23-X5797617,Person,Multnomah,1/14/2023,1600,Assault Offenses,Simple Assault,,,,,1/15/2023,1
,23-X5797781,Person,North Tabor,1/17/2023,1418,Assault Offenses,Aggravated Assault,,,,,1/17/2023,1
,23-X5797781,Person,North Tabor,1/17/2023,1418,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/17/2023,1
,23-X5797786,Person,Powellhurst-Gilbert,1/17/2023,1827,Assault Offenses,Simple Assault,,,,,1/17/2023,1
,23-X5797802,Person,Lloyd,1/17/2023,2250,Assault Offenses,Simple Assault,,,,,1/17/2023,1
,23-X5797808,Person,Arbor Lodge,1/18/2023,0900,Assault Offenses,Aggravated Assault,,,,,1/18/2023,1
,23-X5797902,Person,Goose Hollow,1/5/2023,1148,Assault Offenses,Simple Assault,,,,,1/5/2023,1
,23-X5797912,Person,Mt Tabor,1/7/2023,1729,Assault Offenses,Simple Assault,,,,,1/7/2023,1
,23-X5797971,Person,Centennial,11/1/2022,0000,Assault Offenses,Intimidation,,,,,1/18/2023,1
,23-X5797972,Person,Portsmouth,1/16/2023,1300,Assault Offenses,Simple Assault,,,,,1/18/2023,1
,23-X5797973,Person,Mill Park,1/18/2023,1818,Assault Offenses,Simple Assault,,,,,1/18/2023,2
,23-X5797991,Person,Brentwood-Darlington,1/18/2023,2134,Assault Offenses,Intimidation,,,,,1/18/2023,1
,23-X5798055,Person,,1/14/2023,1535,Assault Offenses,Aggravated Assault,,,,,1/14/2023,1
,23-X5798064,Person,Cathedral Park,1/9/2023,1420,Assault Offenses,Simple Assault,,,,,1/9/2023,1
,23-X5798153,Person,Powellhurst-Gilbert,1/16/2023,0923,Sex Offenses,Rape,,,,,1/16/2023,1
,23-X5798162,Person,Eliot,1/17/2022,0939,Sex Offenses,Rape,,,,,1/17/2023,1
,23-X5798168,Person,St Johns,1/5/2023,1250,Assault Offenses,Simple Assault,,,,,1/9/2023,1
,23-X5798171,Person,Homestead,1/8/2023,0737,Sex Offenses,Rape,,,,,1/8/2023,1
,23-X5798302,Person,Boise,1/6/2023,2038,Assault Offenses,Simple Assault,,,,,1/6/2023,1
,23-X5798352,Person,Pearl,1/13/2023,1045,Assault Offenses,Simple Assault,,,,,1/17/2023,1
,23-X5798359,Person,Montavilla,1/17/2023,2206,Assault Offenses,Simple Assault,,,,,1/17/2023,1
,23-X5798376,Person,Old Town/Chinatown,1/18/2023,0144,Assault Offenses,Simple Assault,,,,,1/18/2023,1
,23-X5798381,Person,Buckman West,1/19/2023,0731,Assault Offenses,Simple Assault,,,,,1/19/2023,1
,23-X5798386,Person,Lents,1/19/2023,1457,Assault Offenses,Simple Assault,,,,,1/19/2023,1
,23-X5798417,Person,Centennial,1/19/2023,1513,Assault Offenses,Simple Assault,,,,,1/19/2023,1
,23-X5798421,Person,Ashcreek,1/19/2023,1633,Assault Offenses,Simple Assault,,,,,1/19/2023,1
,23-X5798425,Person,Lents,1/19/2023,2012,Assault Offenses,Simple Assault,,,,,1/19/2023,1
,23-X5798484,Person,Cully,1/19/2023,2347,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/19/2023,1
,23-X5798486,Person,Montavilla,1/20/2023,0203,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/20/2023,1
,23-X5798486,Society,Montavilla,1/20/2023,0203,Weapon Law Violations,Weapons Law Violations,,,,,1/20/2023,1
,23-X5798492,Person,Powellhurst-Gilbert,1/19/2023,2353,Assault Offenses,Simple Assault,,,,,1/20/2023,1
,23-X5798802,Person,Foster-Powell,1/20/2023,0726,Assault Offenses,Simple Assault,,,,,1/20/2023,2
,23-X5798826,Person,Centennial,1/16/2023,1314,Assault Offenses,Aggravated Assault,,,,,1/16/2023,1
,23-X5798828,Person,Northwest,1/19/2023,1908,Assault Offenses,Simple Assault,,,,,1/19/2023,2
,23-X5798853,Property,Eliot,1/7/2023,2000,Larceny Offenses,Theft From Motor Vehicle,,,,,1/8/2023,1
,23-X5798934,Person,Old Town/Chinatown,1/16/2023,1633,Assault Offenses,Simple Assault,,,,,1/16/2023,1
,23-X5799158,Person,,1/21/2023,0058,Assault Offenses,Simple Assault,,,,,1/21/2023,2
,23-X5799188,Person,King,1/21/2023,0433,Assault Offenses,Simple Assault,,,,,1/21/2023,1
,23-X5799188,Property,King,1/21/2023,0433,Burglary,Burglary,,,,,1/21/2023,1
,23-X5799196,Property,Downtown,1/14/2023,2230,Larceny Offenses,Theft From Motor Vehicle,,,,,1/15/2023,1
,23-X5799228,Person,Montavilla,1/21/2023,1333,Assault Offenses,Simple Assault,,,,,1/21/2023,1
,23-X5799231,Person,Arbor Lodge,1/21/2023,0646,Assault Offenses,Aggravated Assault,,,,,1/21/2023,1
,23-X5799232,Person,Pleasant Valley,1/20/2023,2215,Assault Offenses,Simple Assault,,,,,1/20/2023,1
,23-X5799233,Person,Montavilla,1/20/2023,1315,Assault Offenses,Simple Assault,,,,,1/20/2023,1
,23-X5799366,Person,Goose Hollow,1/21/2023,1809,Assault Offenses,Simple Assault,,,,,1/21/2023,2
,23-X5799401,Person,Pearl,1/14/2023,0921,Human Trafficking Offenses,Commercial Sex Acts,,,,,1/14/2023,1
,23-X5799403,Person,Powellhurst-Gilbert,1/22/2023,1603,Assault Offenses,Simple Assault,,,,,1/22/2023,1
,23-X5799414,Society,Northwest,1/22/2023,1600,Drug/Narcotic Offenses,Drug/Narcotic Violations,,,,,1/22/2023,1
,23-X5799426,Person,Hillsdale,1/22/2023,0836,Assault Offenses,Aggravated Assault,,,,,1/22/2023,1
,23-X5799426,Society,Hillsdale,1/22/2023,0836,Weapon Law Violations,Weapons Law Violations,,,,,1/22/2023,1
,23-X5799435,Person,Lents,1/17/2023,1400,Assault Offenses,Simple Assault,,,,,1/21/2023,1
,23-X5799438,Person,Glenfair,1/22/2023,0117,Assault Offenses,Aggravated Assault,,,,,1/22/2023,1
,23-X5799442,Person,Centennial,1/22/2023,0434,Assault Offenses,Simple Assault,,,,,1/22/2023,1
,23-X5799446,Person,South Tabor,1/22/2023,0001,Assault Offenses,Simple Assault,,,,,1/22/2023,1
,23-X5799452,Person,Humboldt,1/22/2023,1637,Assault Offenses,Aggravated Assault,,,,,1/22/2023,1
,23-X5799457,Person,Lents,1/22/2023,1825,Assault Offenses,Simple Assault,,,,,1/22/2023,2
,23-X5799489,Person,Centennial,1/22/2023,1510,Assault Offenses,Aggravated Assault,,,,,1/22/2023,2
,23-X5799490,Person,Centennial,1/22/2023,2105,Assault Offenses,Simple Assault,,,,,1/22/2023,1
,23-X5799492,Person,Glenfair,1/23/2023,0210,Assault Offenses,Simple Assault,,,,,1/23/2023,1
,23-X5799538,Person,,1/22/2023,2301,Assault Offenses,Aggravated Assault,,,,,1/22/2023,1
,23-X5799556,Person,Centennial,1/23/2023,0115,Assault Offenses,Aggravated Assault,,,,,1/23/2023,1
,23-X5799556,Society,Centennial,1/23/2023,0115,Weapon Law Violations,Weapons Law Violations,,,,,1/23/2023,1
,23-X5799586,Person,Kerns,1/23/2023,0200,Assault Offenses,Simple Assault,,,,,1/23/2023,1
,23-X5799633,Property,Mt Scott-Arleta,1/13/2023,1702,Robbery,Robbery,,,,,1/13/2023,1
