"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"31","9800 BLOCK OF SE WASHINGTON ST","22-8554","Property","Hazelwood","1/10/2022",1558,"Stolen Property Offenses","Stolen Property Offenses",45.518282661,-122.561811436,7673676,681796,"1/10/2022",1
"32","10000 BLOCK OF N KERBY AVE","22-97929","Property","East Columbia","4/13/2022",942,"Stolen Property Offenses","Stolen Property Offenses",45.595314596,-122.67308759,7645919,710620,"4/13/2022",1
"33","10100 BLOCK OF NE CASCADES PKWY","22-680600","Property","","5/3/2022",1100,"Stolen Property Offenses","Stolen Property Offenses",45.57293983,-122.55812584,7675128,701694,"5/3/2022",1
"34","10100 BLOCK OF SE WASHINGTON ST","22-128238","Property","Hazelwood","5/15/2022",1220,"Stolen Property Offenses","Stolen Property Offenses",45.518296519,-122.558896652,7674423,681782,"5/15/2022",1
"35","10100 BLOCK OF SE WASHINGTON ST","22-300105","Property","Hazelwood","11/9/2022",1254,"Stolen Property Offenses","Stolen Property Offenses",45.518296519,-122.558896652,7674423,681782,"11/9/2022",1
"36","11300 BLOCK OF S TERWILLIGER BLVD","22-118244","Property","","5/4/2022",1915,"Stolen Property Offenses","Stolen Property Offenses",45.443502623,-122.673919142,7644217,655294,"5/4/2022",1
"37","11400 BLOCK OF SW 35TH AVE","22-340519","Property","West Portland Park","12/25/2022",1739,"Stolen Property Offenses","Stolen Property Offenses",45.4428954,-122.712860791,7634220,655344,"12/25/2022",1
"38","12000 BLOCK OF NE MARX ST","22-74631","Property","Parkrose","3/19/2022",2030,"Stolen Property Offenses","Stolen Property Offenses",45.559708277,-122.53962205,7679743,696751,"3/20/2022",1
"39","12400 BLOCK OF NE SISKIYOU ST","22-186919","Property","Russell","7/12/2022",1900,"Stolen Property Offenses","Stolen Property Offenses",45.544454825,-122.53494692,7680800,691161,"7/12/2022",1
"40","13000 BLOCK OF SE STARK ST","22-158428","Property","Hazelwood","5/27/2022",645,"Stolen Property Offenses","Stolen Property Offenses",45.519115038,-122.529078502,7682071,681887,"5/27/2022",1
"41","MORRISON BRG / SW MORRISON BRG&NAITO PKWY RAMP","22-278117","Property","Downtown","10/16/2022",1450,"Stolen Property Offenses","Stolen Property Offenses",45.518283586,-122.671376731,7645602,682532,"10/16/2022",1
"42","NB I205 FWY TO / WB I84 FWY EXIT","22-110983","Property","Hazelwood","4/27/2022",0,"Stolen Property Offenses","Stolen Property Offenses",45.52454362,-122.565165175,7672875,684100,"4/27/2022",1
"43","NE 15TH AVE / NE KILLINGSWORTH ST","22-305192","Property","Vernon","11/15/2022",833,"Stolen Property Offenses","Stolen Property Offenses",45.562722204,-122.650075906,7651491,698583,"11/15/2022",1
"44","NE EVERETT ST / NE 97TH AVE","22-146520","Property","Hazelwood","6/1/2022",2113,"Stolen Property Offenses","Stolen Property Offenses",45.524731303,-122.563575631,7673284,684158,"6/1/2022",1
"45","NE HOLLADAY ST / NE 24TH AVE","22-172045","Property","Kerns","6/28/2022",39,"Stolen Property Offenses","Stolen Property Offenses",45.52995535,-122.641390817,7653398,686581,"6/28/2022",1
"46","NE MARX ST / NE 109TH AVE","22-226906","Property","Parkrose","8/23/2022",645,"Stolen Property Offenses","Stolen Property Offenses",45.560859067,-122.550657594,7676928,697242,"8/23/2022",1
"47","NE PRESCOTT ST / NE 82ND AVE","22-260544","Property","Sumner","9/27/2022",1730,"Stolen Property Offenses","Stolen Property Offenses",45.555424111,-122.578617818,7669718,695444,"9/27/2022",1
"48","NE ROSELAWN ST / NE 8TH AVE","22-95641","Property","King","4/10/2022",1658,"Stolen Property Offenses","Stolen Property Offenses",45.561152718,-122.657991925,7649449,698065,"4/10/2022",1
"49","NE SANDY BLVD / NE 92ND AVE","22-268853","Property","Sumner","10/6/2022",1820,"Stolen Property Offenses","Stolen Property Offenses",45.556790406,-122.567967279,7672458,695872,"10/6/2022",1
"50","NW 3RD AVE / NW DAVIS ST","22-294423","Property","Old Town/Chinatown","11/3/2022",835,"Stolen Property Offenses","Stolen Property Offenses",45.524544204,-122.673431169,7645137,684828,"11/3/2022",1
"51","NW 5TH AVE / NW COUCH ST","22-185632","Property","Old Town/Chinatown","7/11/2022",1458,"Stolen Property Offenses","Stolen Property Offenses",45.523792913,-122.675435967,7644616,684568,"7/11/2022",1
"52","NW 19TH AVE / NW SAVIER ST","22-157337","Property","Northwest","6/13/2022",746,"Stolen Property Offenses","Stolen Property Offenses",45.534925414,-122.690670321,7640823,688731,"6/13/2022",1
"53","NW GLISAN ST / NW 2ND AVE","22-112351","Property","Old Town/Chinatown","4/28/2022",1012,"Stolen Property Offenses","Stolen Property Offenses",45.52670167,-122.672510592,7645394,685608,"4/28/2022",1
"54","NW HOYT ST / NW PARK AVE","22-7636","Property","Pearl","1/9/2022",1533,"Stolen Property Offenses","Stolen Property Offenses",45.527290509,-122.679231403,7643678,685869,"1/9/2022",1
"55","S SHERIDAN ST / S WATER AVE","22-173483","Property","South Portland","6/29/2022",1017,"Stolen Property Offenses","Stolen Property Offenses",45.505009092,-122.675758298,7644349,677724,"6/29/2022",1
"56","SE 26TH AVE / SE BELMONT ST","22-133631","Property","Buckman East","5/20/2022",1606,"Stolen Property Offenses","Stolen Property Offenses",45.516441171,-122.639128903,7653847,681640,"5/20/2022",1
