"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"3738","24800 BLOCK OF SE STARK ST","22-291249","Person","","10/30/2022",2125,"Assault Offenses","Aggravated Assault",45.518990977,-122.407722774,7713166,681084,"10/30/2022",1
"3739","BURNSIDE BRG / NW NAITO PKWY","22-204344","Person","Old Town/Chinatown","7/30/2022",1630,"Assault Offenses","Aggravated Assault",45.523102964,-122.670280814,7645930,684281,"7/30/2022",2
"3740","E BURNSIDE ST / NE 52ND AVE","22-50873","Person","North Tabor","2/23/2022",1414,"Assault Offenses","Intimidation",45.522887686,-122.610251067,7661308,683795,"2/23/2022",1
"3741","E BURNSIDE ST / NE 99TH AVE","22-66190","Person","Hazelwood","3/11/2022",1517,"Assault Offenses","Aggravated Assault",45.52274912,-122.562274155,7673599,683427,"3/11/2022",1
"3742","E BURNSIDE ST / NE 146TH AVE","22-59186","Person","Hazelwood","3/4/2022",827,"Assault Offenses","Intimidation",45.522392652,-122.513221083,7686164,682980,"3/4/2022",2
"3743","E BURNSIDE ST / NE 148TH AVE","22-40107","Person","Glenfair","2/12/2022",326,"Assault Offenses","Aggravated Assault",45.522374527,-122.510652343,7686822,682957,"2/12/2022",1
"3744","E BURNSIDE ST / NE 148TH AVE","22-265283","Person","Glenfair","10/2/2022",1700,"Assault Offenses","Aggravated Assault",45.522374527,-122.510652343,7686822,682957,"10/2/2022",1
"3745","E BURNSIDE ST / SE 13TH AVE","22-80033","Person","Buckman East","3/25/2022",1506,"Assault Offenses","Aggravated Assault",45.522906244,-122.652588324,7650461,684088,"3/25/2022",1
"3746","E BURNSIDE ST / SE 20TH AVE","22-270167","Person","Buckman East","10/8/2022",346,"Assault Offenses","Simple Assault",45.522879769,-122.64549541,7652278,684030,"10/8/2022",1
"3747","E BURNSIDE ST / SE 102ND AVE","22-59427","Person","Hazelwood","3/4/2022",1359,"Assault Offenses","Aggravated Assault",45.522557102,-122.558293974,7674617,683331,"3/4/2022",1
"3748","E BURNSIDE ST / SE 148TH AVE","22-268801","Person","Glenfair","10/6/2022",1630,"Assault Offenses","Aggravated Assault",45.522212623,-122.510654416,7686820,682898,"10/6/2022",1
"3749","E BURNSIDE ST / SE 148TH AVE","22-800518","Person","Glenfair","2/13/2022",500,"Assault Offenses","Aggravated Assault",45.522212623,-122.510654416,7686820,682898,"2/16/2022",1
"3750","E BURNSIDE ST / SE CESAR E CHAVEZ BLVD","22-329885","Person","Laurelhurst","12/13/2022",1245,"Assault Offenses","Simple Assault",45.523536232,-122.623003153,7658047,684117,"12/13/2022",1
"3751","E BURNSIDE ST / SE MARTIN LUTHER KING JR BLVD","22-204706","Person","Buckman West","7/31/2022",103,"Assault Offenses","Aggravated Assault",45.522936909,-122.661769583,7648109,684162,"7/31/2022",2
"3752","EB BROADWAY BRG AT / WESTEND","22-251208","Person","Old Town/Chinatown","9/17/2022",2033,"Assault Offenses","Aggravated Assault",45.53019303,-122.677074814,7644259,686912,"9/17/2022",1
"3753","EB I84 FWY TO / EXIT 5 & NE 82ND AVE","22-27441","Person","Montavilla","1/29/2022",1752,"Assault Offenses","Aggravated Assault",45.533349285,-122.579078234,7669393,687401,"1/29/2022",1
"3754","EB I84 FWY WO / BLUMENAUER PEDESTRIAN BRIDGE","22-250482","Person","Kerns","9/17/2022",124,"Assault Offenses","Simple Assault",45.526063163,-122.6595154,7648717,685286,"9/17/2022",1
"3755","EB ROSS ISLAND BRG AT / WESTEND","22-97426","Person","South Portland","4/12/2022",1615,"Assault Offenses","Aggravated Assault",45.500964712,-122.668514147,7646166,676200,"4/12/2022",1
"3756","EB SUNSET HWY AT / MP73 & SW JEFFERSON ST","22-214003","Person","Arlington Heights","8/9/2022",1545,"Assault Offenses","Aggravated Assault",45.511967207,-122.704391368,7637080,680459,"8/9/2022",1
"3757","I5 FWY NB / N JANTZEN DR","22-114762","Person","Hayden Island","5/1/2022",4,"Assault Offenses","Aggravated Assault",45.608848468,-122.680501927,7644155,715604,"5/1/2022",1
"3758","I5 FWY SB / N ROSA PARKS WAY","22-143469","Person","Arbor Lodge","5/30/2022",120,"Assault Offenses","Aggravated Assault",45.569905857,-122.678747275,7644221,701398,"5/30/2022",1
"3759","I205 FWY SB / NE GLISAN ST&I205 FWY RAMP","22-236431","Person","Montavilla","9/2/2022",442,"Assault Offenses","Aggravated Assault",45.520344718,-122.565539339,7672740,682572,"9/2/2022",1
"3760","I205 FWY SB / SE DIVISION ST&I205 FWY RAMP","22-56176","Person","Powellhurst-Gilbert","3/1/2022",1100,"Assault Offenses","Simple Assault",45.499599825,-122.565576961,7672537,675011,"3/1/2022",2
"3761","I205 FWY SB / SE WOODSTOCK BLVD","22-680559","Person","Lents","5/4/2022",620,"Assault Offenses","Aggravated Assault",45.478338384,-122.565954576,7672242,667264,"5/4/2022",1
"3762","N ALBERTA ST / I5 FWY NB","22-270615","Person","Humboldt","10/8/2022",1619,"Assault Offenses","Simple Assault",45.558996934,-122.678468994,7644185,697420,"10/8/2022",1
"3763","N ALBINA AVE / N ROSA PARKS WAY","22-263857","Person","Piedmont","10/1/2022",331,"Assault Offenses","Simple Assault",45.569924395,-122.674868972,7645214,701378,"10/1/2022",1
"3764","N ARGYLE ST / N BORTHWICK AVE","22-145470","Person","Piedmont","5/31/2022",2240,"Assault Offenses","Simple Assault",45.584799321,-122.673325495,7645755,706789,"5/31/2022",1
"3765","N BASIN AVE / N ANCHOR ST","22-176458","Person","Overlook","7/2/2022",944,"Assault Offenses","Simple Assault",45.559597353,-122.701109756,7638394,697796,"7/2/2022",1
"3766","N BERKELEY AVE / N LOMBARD ST","22-60183","Person","Portsmouth","3/4/2022",2330,"Assault Offenses","Simple Assault",45.583697123,-122.727360828,7631915,706764,"3/5/2022",1
"3767","N BRYANT ST / N INTERSTATE AVE","22-282251","Person","Arbor Lodge","10/21/2022",41,"Assault Offenses","Aggravated Assault",45.573508071,-122.682229689,7643365,702735,"10/21/2022",1
"3768","N CHAUTAUQUA BLVD / N WINCHELL ST","22-47271","Person","Kenton","2/19/2022",1442,"Assault Offenses","Intimidation",45.580803662,-122.707949725,7636854,705573,"2/19/2022",1
"3769","N CHAUTAUQUA PL / N ALASKA ST","22-280557","Person","Portsmouth","10/19/2022",435,"Assault Offenses","Aggravated Assault",45.58783349,-122.707918623,7636932,708135,"10/19/2022",1
"3770","N COLUMBIA BLVD / N CHAUTAUQUA BLVD","22-280801","Person","Portsmouth","10/19/2022",1120,"Assault Offenses","Aggravated Assault",45.591039552,-122.705409558,7637606,709286,"10/19/2022",1
"3771","N COLUMBIA BLVD / N FISKE AVE","22-210178","Person","Portsmouth","8/5/2022",1628,"Assault Offenses","Aggravated Assault",45.593841037,-122.716676003,7634751,710386,"8/5/2022",1
"3772","N COLUMBIA BLVD / N UPLAND DR","22-135176","Person","St Johns","5/22/2022",815,"Assault Offenses","Aggravated Assault",45.598861608,-122.739079925,7629069,712374,"5/22/2022",1
